SERIES;NOTAS
Watchmen: Season 1;94
Daybreak: Season 1;73
His Dark Materials: Season 1;92
Living With Yourself: Season 1;84
Batwoman: Season 1;72
BoJack Horseman: Season 6;100
Castle Rock: Season 2;93
The Morning Show: Season 1;58
Mayans M.C.: Season 2;100
Emergence: Season 1;93
The Flash: Season 6;99
Undone: Season 1;100
The Walking Dead: Season 10;93
Game of Thrones;89
This Is Us: Season 4;100
See: Season 1;46
Mrs. Fletcher: Season 1;84
Arrow: Season 8;97
American Horror Story: 1984;93
Treadstone: Season 1;50
